text,label,department,priority
Reminder: Submit the project report by Monday.,ham,IT,High
Claim your lottery prize before midnight.,spam,IT,Low
Get 90% discount on your next purchase. Limited time offer!,spam,Support,High
Your IT support ticket has been resolved.,ham,Finance,Medium
Reminder: Submit the project report by Monday.,ham,Support,Medium
Urgent! Verify your payment details now.,spam,Support,Medium
Reminder: Submit the project report by Monday.,ham,Support,Low
The HR team needs your updated documents.,ham,IT,Medium
The HR team needs your updated documents.,ham,Finance,Low
Reminder: Submit the project report by Monday.,ham,Finance,Medium
Urgent! Verify your payment details now.,spam,Support,Medium
Your account will be suspended. Confirm your identity.,spam,IT,Medium
Your IT support ticket has been resolved.,ham,Support,Medium
Reminder: Submit the project report by Monday.,ham,HR,Medium
Your IT support ticket has been resolved.,ham,Support,Medium
Reminder: Submit the project report by Monday.,ham,Support,Medium
Get 90% discount on your next purchase. Limited time offer!,spam,Support,High
Your account will be suspended. Confirm your identity.,spam,Finance,High
Win a free iPhone now by clicking this link.,spam,Finance,Low
Get 90% discount on your next purchase. Limited time offer!,spam,Support,Medium
Meeting scheduled with Finance at 3 PM.,ham,IT,High
Claim your lottery prize before midnight.,spam,Finance,Medium
Your IT support ticket has been resolved.,ham,Finance,High
The HR team needs your updated documents.,ham,HR,High
Get 90% discount on your next purchase. Limited time offer!,spam,Support,High
Reminder: Submit the project report by Monday.,ham,Support,Medium
Your IT support ticket has been resolved.,ham,Support,Medium
Urgent! Verify your payment details now.,spam,Finance,Medium
Win a free iPhone now by clicking this link.,spam,Support,Low
Meeting scheduled with Finance at 3 PM.,ham,HR,High
Win a free iPhone now by clicking this link.,spam,Finance,High
Your IT support ticket has been resolved.,ham,Support,Low
Claim your lottery prize before midnight.,spam,Finance,Medium
Urgent! Verify your payment details now.,spam,IT,Low
Meeting scheduled with Finance at 3 PM.,ham,Support,Low
Meeting scheduled with Finance at 3 PM.,ham,Support,High
Please review the attached financial report.,ham,IT,High
The HR team needs your updated documents.,ham,Finance,High
Urgent! Verify your payment details now.,spam,IT,Medium
Please review the attached financial report.,ham,IT,Low
Urgent! Verify your payment details now.,spam,Support,Low
Win a free iPhone now by clicking this link.,spam,HR,Medium
Win a free iPhone now by clicking this link.,spam,Finance,Low
Your account will be suspended. Confirm your identity.,spam,IT,High
Get 90% discount on your next purchase. Limited time offer!,spam,IT,Low
The HR team needs your updated documents.,ham,HR,High
Your account will be suspended. Confirm your identity.,spam,HR,High
Urgent! Verify your payment details now.,spam,IT,High
Win a free iPhone now by clicking this link.,spam,Support,Medium
Urgent! Verify your payment details now.,spam,HR,Low
Please review the attached financial report.,ham,HR,Low
Claim your lottery prize before midnight.,spam,Support,Medium
Your account will be suspended. Confirm your identity.,spam,IT,Medium
Meeting scheduled with Finance at 3 PM.,ham,HR,High
Please review the attached financial report.,ham,Support,Low
Your IT support ticket has been resolved.,ham,Finance,High
Your account will be suspended. Confirm your identity.,spam,HR,Medium
Meeting scheduled with Finance at 3 PM.,ham,Support,High
Win a free iPhone now by clicking this link.,spam,HR,Low
Your account will be suspended. Confirm your identity.,spam,Support,High
Urgent! Verify your payment details now.,spam,Finance,High
Urgent! Verify your payment details now.,spam,IT,High
Win a free iPhone now by clicking this link.,spam,Finance,Medium
Your IT support ticket has been resolved.,ham,Finance,Low
Claim your lottery prize before midnight.,spam,IT,Low
Get 90% discount on your next purchase. Limited time offer!,spam,Support,Low
Reminder: Submit the project report by Monday.,ham,IT,High
Reminder: Submit the project report by Monday.,ham,HR,Medium
Please review the attached financial report.,ham,HR,Medium
The HR team needs your updated documents.,ham,IT,Medium
The HR team needs your updated documents.,ham,Support,Low
Your account will be suspended. Confirm your identity.,spam,Support,Medium
The HR team needs your updated documents.,ham,IT,Medium
Urgent! Verify your payment details now.,spam,Finance,Medium
Please review the attached financial report.,ham,HR,High
Urgent! Verify your payment details now.,spam,IT,High
Meeting scheduled with Finance at 3 PM.,ham,Finance,Low
Your account will be suspended. Confirm your identity.,spam,IT,Medium
Your account will be suspended. Confirm your identity.,spam,HR,High
Win a free iPhone now by clicking this link.,spam,IT,Low
Get 90% discount on your next purchase. Limited time offer!,spam,HR,High
The HR team needs your updated documents.,ham,HR,Medium
The HR team needs your updated documents.,ham,IT,Medium
The HR team needs your updated documents.,ham,Finance,Medium
Win a free iPhone now by clicking this link.,spam,HR,High
Reminder: Submit the project report by Monday.,ham,Support,Low
Win a free iPhone now by clicking this link.,spam,IT,High
Urgent! Verify your payment details now.,spam,IT,High
Claim your lottery prize before midnight.,spam,IT,High
Meeting scheduled with Finance at 3 PM.,ham,HR,Medium
Your IT support ticket has been resolved.,ham,Support,High
Claim your lottery prize before midnight.,spam,Support,High
Meeting scheduled with Finance at 3 PM.,ham,IT,Medium
Meeting scheduled with Finance at 3 PM.,ham,HR,Medium
The HR team needs your updated documents.,ham,HR,High
Meeting scheduled with Finance at 3 PM.,ham,HR,Low
Urgent! Verify your payment details now.,spam,Support,Low
Reminder: Submit the project report by Monday.,ham,Support,Medium
The HR team needs your updated documents.,ham,IT,Low
Urgent! Verify your payment details now.,spam,Support,Medium
Meeting scheduled with Finance at 3 PM.,ham,IT,Low
Meeting scheduled with Finance at 3 PM.,ham,Finance,Low
Your IT support ticket has been resolved.,ham,Support,Low
Win a free iPhone now by clicking this link.,spam,HR,Medium
Reminder: Submit the project report by Monday.,ham,IT,Medium
Reminder: Submit the project report by Monday.,ham,Finance,Medium
The HR team needs your updated documents.,ham,Support,Medium
Urgent! Verify your payment details now.,spam,HR,High
