text,label
Please review the attached documents and share your feedback.,ham
Don’t forget the deadline for the project submission is tomorrow.,ham
Thank you for your assistance in the last project.,ham
Lunch at 1 PM today?,ham
Congratulations! You've won a free lottery. Click here to claim.,spam
Please review the attached documents and share your feedback.,ham
Limited offer! Buy now and save 80%.,spam
URGENT: Your account has been compromised. Verify now.,spam
You're pre-approved for a new credit card. Apply now.,spam
Limited offer! Buy now and save 80%.,spam
Congratulations! You've won a free lottery. Click here to claim.,spam
Make money working from home. No experience required.,spam
We’ll have the team sync-up call at 3 PM.,ham
You have been selected for a cash prize. Respond immediately.,spam
Final reminder: Update your payment details to avoid suspension.,spam
Limited offer! Buy now and save 80%.,spam
Here’s the file you requested yesterday.,ham
This is not spam. You really won $1000!,spam
"Hi John, I’ve attached the report from last week.",ham
Make money working from home. No experience required.,spam
Can we reschedule our meeting to Friday?,ham
URGENT: Your account has been compromised. Verify now.,spam
Congratulations! You've won a free lottery. Click here to claim.,spam
Get cheap loans at 0% interest. Apply instantly.,spam
"Hi John, I’ve attached the report from last week.",ham
Here’s the file you requested yesterday.,ham
Make money working from home. No experience required.,spam
You have been selected for a cash prize. Respond immediately.,spam
Happy Birthday! Wishing you a great year ahead.,ham
URGENT: Your account has been compromised. Verify now.,spam
Final reminder: Update your payment details to avoid suspension.,spam
Final reminder: Update your payment details to avoid suspension.,spam
"Hi John, I’ve attached the report from last week.",ham
Get cheap loans at 0% interest. Apply instantly.,spam
Final reminder: Update your payment details to avoid suspension.,spam
Congratulations! You've won a free lottery. Click here to claim.,spam
Lunch at 1 PM today?,ham
You're pre-approved for a new credit card. Apply now.,spam
Limited offer! Buy now and save 80%.,spam
Lunch at 1 PM today?,ham
Happy Birthday! Wishing you a great year ahead.,ham
Get cheap loans at 0% interest. Apply instantly.,spam
Don’t forget the deadline for the project submission is tomorrow.,ham
Can we reschedule our meeting to Friday?,ham
Please review the attached documents and share your feedback.,ham
Here’s the file you requested yesterday.,ham
Limited offer! Buy now and save 80%.,spam
You're pre-approved for a new credit card. Apply now.,spam
This is not spam. You really won $1000!,spam
Don’t forget the deadline for the project submission is tomorrow.,ham
Thank you for your assistance in the last project.,ham
You're pre-approved for a new credit card. Apply now.,spam
Limited offer! Buy now and save 80%.,spam
Limited offer! Buy now and save 80%.,spam
Happy Birthday! Wishing you a great year ahead.,ham
You have been selected for a cash prize. Respond immediately.,spam
Please approve the leave application sent yesterday.,ham
Please approve the leave application sent yesterday.,ham
You're pre-approved for a new credit card. Apply now.,spam
You're pre-approved for a new credit card. Apply now.,spam
Make money working from home. No experience required.,spam
Can we reschedule our meeting to Friday?,ham
Get cheap loans at 0% interest. Apply instantly.,spam
You have been selected for a cash prize. Respond immediately.,spam
You have been selected for a cash prize. Respond immediately.,spam
Final reminder: Update your payment details to avoid suspension.,spam
Please review the attached documents and share your feedback.,ham
This is not spam. You really won $1000!,spam
Can we reschedule our meeting to Friday?,ham
URGENT: Your account has been compromised. Verify now.,spam
You're pre-approved for a new credit card. Apply now.,spam
Limited offer! Buy now and save 80%.,spam
Congratulations! You've won a free lottery. Click here to claim.,spam
"Hi John, I’ve attached the report from last week.",ham
Here’s the file you requested yesterday.,ham
Please review the attached documents and share your feedback.,ham
Final reminder: Update your payment details to avoid suspension.,spam
Get cheap loans at 0% interest. Apply instantly.,spam
URGENT: Your account has been compromised. Verify now.,spam
This is not spam. You really won $1000!,spam
You have been selected for a cash prize. Respond immediately.,spam
Please approve the leave application sent yesterday.,ham
Final reminder: Update your payment details to avoid suspension.,spam
You're pre-approved for a new credit card. Apply now.,spam
Congratulations! You've won a free lottery. Click here to claim.,spam
Congratulations! You've won a free lottery. Click here to claim.,spam
Limited offer! Buy now and save 80%.,spam
Make money working from home. No experience required.,spam
Make money working from home. No experience required.,spam
You have been selected for a cash prize. Respond immediately.,spam
You have been selected for a cash prize. Respond immediately.,spam
Earn Bitcoin quickly. Sign up here!,spam
We’ll have the team sync-up call at 3 PM.,ham
Here’s the file you requested yesterday.,ham
Get cheap loans at 0% interest. Apply instantly.,spam
Please review the attached documents and share your feedback.,ham
"Hi John, I’ve attached the report from last week.",ham
Make money working from home. No experience required.,spam
Congratulations! You've won a free lottery. Click here to claim.,spam
Lunch at 1 PM today?,ham
This is not spam. You really won $1000!,spam
Please approve the leave application sent yesterday.,ham
Can we reschedule our meeting to Friday?,ham
Lunch at 1 PM today?,ham
This is not spam. You really won $1000!,spam
"Hi John, I’ve attached the report from last week.",ham
Get cheap loans at 0% interest. Apply instantly.,spam
Make money working from home. No experience required.,spam
We’ll have the team sync-up call at 3 PM.,ham
Limited offer! Buy now and save 80%.,spam
"Hi John, I’ve attached the report from last week.",ham
Get cheap loans at 0% interest. Apply instantly.,spam
Make money working from home. No experience required.,spam
Please review the attached documents and share your feedback.,ham
Final reminder: Update your payment details to avoid suspension.,spam
Get cheap loans at 0% interest. Apply instantly.,spam
Can we reschedule our meeting to Friday?,ham
URGENT: Your account has been compromised. Verify now.,spam
Lunch at 1 PM today?,ham
Congratulations! You've won a free lottery. Click here to claim.,spam
Earn Bitcoin quickly. Sign up here!,spam
We’ll have the team sync-up call at 3 PM.,ham
Please review the attached documents and share your feedback.,ham
"Hi John, I’ve attached the report from last week.",ham
Happy Birthday! Wishing you a great year ahead.,ham
Get cheap loans at 0% interest. Apply instantly.,spam
